DN,Longitude,Latitude,EC,T
R1C1,-81.3979493,29.4197765,0.27,17.11111111
R2C1,-81.3979506,29.4196912,0.22,19.72222222
R3C1,-81.3979493,29.4196106,0.23,17.94444444
R4C1,-81.397948,29.4195312,0.153333333,17.77777778
R5C1,-81.397948,29.4194529,0.226666667,18.22222222
R6C1,-81.3979453,29.4193735,0.206666667,17.88888889
R7C1,-81.3979439,29.4192987,0.29,17.88888889
R8C1,-81.3979453,29.4192111,0.196666667,18
R9C1,-81.3979412,29.4191083,0.243333333,17.77777778
R1C2,-81.3978353,29.4197741,0.136666667,18
R1C3,-81.3977186,29.4197776,0.41,18.38888889
R1C4,-81.3976073,29.4197823,0.236666667,17.6
R1C5,-81.397504,29.4197823,0.056666667,17.6
R1C6,-81.3973927,29.4197847,0.22,18.1
R1C7,-81.3973015,29.4197858,0.126666667,17.5
R1C8,-81.3971862,29.4197882,0.083333333,17.3
R1C9,-81.3970601,29.4197917,0.226666667,17.9
R2C2,-81.397838,29.4196935,0.196666667,18.11111111
R2C3,-81.3977186,29.4196912,0.15,18.61111111
R2C4,-81.3976113,29.419697,0.18,17.6
R2C5,-81.3975014,29.4196994,0.063333333,17.5
R2C6,-81.3973941,29.4196982,0.076666667,17.4
R2C7,-81.3972989,29.4197005,0.043333333,16.9
R2C8,-81.3971849,29.4197076,0.153333333,17.2
R2C9,-81.3970561,29.4197111,0.183333333,17.4
R3C2,-81.397834,29.4196118,0.143333333,17.88888889
R3C3,-81.3977173,29.4196129,0.126666667,18.61111111
R3C4,-81.3976087,29.4196153,0.106666667,17.3
R3C5,-81.3974973,29.4196164,0.086666667,17.1
R3C6,-81.3973941,29.4196211,0.093333333,17.3
R3C7,-81.3972948,29.4196223,0.04,17.2
R3C8,-81.3971835,29.4196235,0.376666667,17
R3C9,-81.3970561,29.4196293,0.143333333,17.6
R4C2,-81.3978326,29.4195335,0.12,17.38888889
R4C3,-81.3977146,29.4195347,0.113333333,18.22222222
R4C4,-81.397606,29.4195358,0.133333333,17.3
R4C5,-81.3974987,29.419537,0.22,6.9
R4C6,-81.3973927,29.4195358,0.07,17.2
R4C7,-81.3972922,29.4195382,0.036666667,17.4
R4C8,-81.3971849,29.419544,0.153333333,17.1
R4C9,-81.3970561,29.4195405,0.436666667,17.8
R5C2,-81.3978313,29.4194447,0.17,17.77777778
R5C3,-81.3977159,29.4194541,0.123333333,18.5
R5C4,-81.3976087,29.4194552,0.18,17.1
R5C5,-81.3975,29.4194517,0.05,17
R5C6,-81.3973941,29.4194552,0.063333333,17.9
R5C7,-81.3972935,29.4194587,0.073333333,16.8
R5C8,-81.3971822,29.4194576,0.11,17.1
R5C9,-81.3970561,29.4194599,0.29,17.5
R6C2,-81.3978299,29.41937,0.143333333,18
R6C3,-81.3977173,29.4193711,0.25,18.22222222
R6C4,-81.3976046,29.4193758,0.11,17
R6C5,-81.3975,29.4193746,0.083333333,17.1
R6C6,-81.3973927,29.4193746,0.066666667,17.3
R6C7,-81.3972922,29.4193781,0.11,16.6
R6C8,-81.3971795,29.419377,0.063333333,16.9
R6C9,-81.3970534,29.4193805,1.44,17.4
R7C2,-81.3978273,29.4192964,0.14,17.55555556
R7C3,-81.3977133,29.419294,0.113333333,18.22222222
R7C4,-81.3976046,29.419294,0.153333333,17.1
R7C5,-81.397496,29.4192929,0.07,17.1
R7C6,-81.3973901,29.4192987,0.066666667,17.6
R7C7,-81.3972881,29.4192964,0.13,16.9
R7C8,-81.3971782,29.4192975,0.183333333,16.6
R7C9,-81.3970548,29.419301,0.133333333,17.6
R8C2,-81.3978273,29.4192017,0.233333333,17.77777778
R8C3,-81.3977106,29.4192041,0.17,18
R8C4,-81.3976033,29.4191994,0.14,17
R8C5,-81.3974987,29.4192006,0.073333333,17.2
R8C6,-81.3973887,29.4192017,0.12,17.6
R8C7,-81.3972881,29.4192017,0.136666667,17.3
R8C8,-81.3971755,29.4191971,0.153333333,16.8
R8C9,-81.3970521,29.4192029,0.206666667,17.5
R9C2,-81.3978232,29.4191048,0.27,18.05555556
R9C3,-81.3977119,29.4191001,0.266666667,18.11111111
R9C4,-81.3975993,29.4190954,0.123333333,17.1
R9C5,-81.3974947,29.4191024,0.06,17.1
R9C6,-81.3973847,29.4190978,0.093333333,18.6
R9C7,-81.3972868,29.4191001,0.13,17.5
R9C8,-81.3971782,29.4191024,0.186666667,16.9
R9C9,-81.3970548,29.4191001,0.183333333,17.7
